Date,,,,Close
2022-10-04 20:47:00:322,,,,0.39738
2022-10-04 20:47:06:486,,,,0.39738
2022-10-04 20:47:30:947,,,,0.39738
2022-10-04 20:48:02:589,,,,0.19643
2022-10-04 20:52:08:679,,,,0.40351
2022-10-04 20:53:16:889,,,,0.21714
2022-10-04 20:54:30:522,,,,0.3913
2022-10-04 20:54:43:784,,,,0.39301
2022-10-04 23:46:25:680,,,,0.41558
2022-10-04 23:46:31:904,,,,0.37391
2022-10-04 23:47:46:612,,,,0.41048
2022-10-05 00:00:00:000,,,,0.45852
2022-10-05 06:51:51:848,,,,0.56769
2022-10-05 08:08:05:395,,,,0.20833
2022-10-05 08:09:32:041,,,,0.41228
2022-10-05 08:09:38:212,,,,0.23429
2022-10-05 08:11:11:181,,,,0.4
2022-10-05 08:11:48:127,,,,0.39738
2022-10-05 10:49:12:238,,,,0.39394
2022-10-05 14:13:35:158,,,,0.3913
2022-10-06 00:00:00:000,,,,0.39738
2022-10-06 12:23:39:952,,,,0.40611
2022-10-06 13:20:03:418,,,,0.40175
2022-10-06 13:23:15:921,,,,0.19048
2022-10-06 15:58:59:336,,,,0.5
2022-10-07 00:00:00:000,,,,0.36
2022-10-07 14:52:01:453,,,,0.5087
2022-10-07 15:07:47:690,,,,0.50655
2022-10-07 23:23:00:724,,,,0.49351
2022-10-07 23:23:07:486,,,,0.49565
2022-10-07 23:30:00:358,,,,0.49345
2022-10-07 23:30:07:065,,,,0.51965
2022-10-07 23:30:19:001,,,,0.51965
2022-10-07 23:30:56:134,,,,0.74589
2022-10-07 23:31:33:347,,,,0.95687
2022-10-07 23:31:45:104,,,,1.2698
2022-10-08 00:00:00:000,,,,1.3654
2022-10-08 06:17:57:883,,,,0.986578
2022-10-08 06:18:04:723,,,,0.569415
2022-10-08 06:18:11:519,,,,0.39565
2022-10-08 06:18:16:537,,,,0.39301
2022-10-08 06:18:23:356,,,,0.38428
2022-10-08 06:18:30:096,,,,0.38428
2022-10-08 06:18:35:225,,,,0.17262
2022-10-08 06:18:42:022,,,,0.39035
